"Time","NERSC-Perlmutter-CPU"
2025-09-15 14:00:00,
2025-09-15 14:30:00,
2025-09-15 15:00:00,
2025-09-15 15:30:00,
2025-09-15 16:00:00,
2025-09-15 16:30:00,
2025-09-15 17:00:00,
2025-09-15 17:30:00,
2025-09-15 18:00:00,
2025-09-15 18:30:00,
2025-09-15 19:00:00,
2025-09-15 19:30:00,
2025-09-15 20:00:00,
2025-09-15 20:30:00,
2025-09-15 21:00:00,
2025-09-15 21:30:00,
2025-09-15 22:00:00,
2025-09-15 22:30:00,
2025-09-15 23:00:00,
2025-09-15 23:30:00,
2025-09-16 00:00:00,
2025-09-16 00:30:00,
2025-09-16 01:00:00,
2025-09-16 01:30:00,
2025-09-16 02:00:00,
2025-09-16 02:30:00,
2025-09-16 03:00:00,
2025-09-16 03:30:00,
2025-09-16 04:00:00,
2025-09-16 04:30:00,
2025-09-16 05:00:00,
2025-09-16 05:30:00,
2025-09-16 06:00:00,
2025-09-16 06:30:00,
2025-09-16 07:00:00,
2025-09-16 07:30:00,
2025-09-16 08:00:00,
2025-09-16 08:30:00,
2025-09-16 09:00:00,
2025-09-16 09:30:00,
2025-09-16 10:00:00,
2025-09-16 10:30:00,
2025-09-16 11:00:00,
2025-09-16 11:30:00,
2025-09-16 12:00:00,
2025-09-16 12:30:00,
2025-09-16 13:00:00,
2025-09-16 13:30:00,
2025-09-16 14:00:00,
2025-09-16 14:30:00,
2025-09-16 15:00:00,
2025-09-16 15:30:00,
2025-09-16 16:00:00,
2025-09-16 16:30:00,
2025-09-16 17:00:00,
2025-09-16 17:30:00,
2025-09-16 18:00:00,
2025-09-16 18:30:00,
2025-09-16 19:00:00,
2025-09-16 19:30:00,
2025-09-16 20:00:00,
2025-09-16 20:30:00,
2025-09-16 21:00:00,
2025-09-16 21:30:00,
2025-09-16 22:00:00,
2025-09-16 22:30:00,
2025-09-16 23:00:00,
2025-09-16 23:30:00,
2025-09-17 00:00:00,
2025-09-17 00:30:00,
2025-09-17 01:00:00,
2025-09-17 01:30:00,
2025-09-17 02:00:00,
2025-09-17 02:30:00,
2025-09-17 03:00:00,
2025-09-17 03:30:00,
2025-09-17 04:00:00,
2025-09-17 04:30:00,
2025-09-17 05:00:00,
2025-09-17 05:30:00,
2025-09-17 06:00:00,
2025-09-17 06:30:00,
2025-09-17 07:00:00,
2025-09-17 07:30:00,
2025-09-17 08:00:00,
2025-09-17 08:30:00,
2025-09-17 09:00:00,
2025-09-17 09:30:00,
2025-09-17 10:00:00,
2025-09-17 10:30:00,
2025-09-17 11:00:00,
2025-09-17 11:30:00,
2025-09-17 12:00:00,
2025-09-17 12:30:00,
2025-09-17 13:00:00,
2025-09-17 13:30:00,
2025-09-17 14:00:00,
2025-09-17 14:30:00,
2025-09-17 15:00:00,
2025-09-17 15:30:00,
2025-09-17 16:00:00,
2025-09-17 16:30:00,
2025-09-17 17:00:00,1
2025-09-17 17:30:00,
2025-09-17 18:00:00,
2025-09-17 18:30:00,
2025-09-17 19:00:00,
2025-09-17 19:30:00,
2025-09-17 20:00:00,
2025-09-17 20:30:00,
2025-09-17 21:00:00,
2025-09-17 21:30:00,
2025-09-17 22:00:00,
2025-09-17 22:30:00,
2025-09-17 23:00:00,
2025-09-17 23:30:00,
2025-09-18 00:00:00,
2025-09-18 00:30:00,
2025-09-18 01:00:00,
2025-09-18 01:30:00,
2025-09-18 02:00:00,
2025-09-18 02:30:00,
2025-09-18 03:00:00,
2025-09-18 03:30:00,
2025-09-18 04:00:00,
2025-09-18 04:30:00,
2025-09-18 05:00:00,
2025-09-18 05:30:00,
2025-09-18 06:00:00,
2025-09-18 06:30:00,
2025-09-18 07:00:00,
2025-09-18 07:30:00,
2025-09-18 08:00:00,
2025-09-18 08:30:00,
2025-09-18 09:00:00,
2025-09-18 09:30:00,
2025-09-18 10:00:00,
2025-09-18 10:30:00,
2025-09-18 11:00:00,
2025-09-18 11:30:00,
2025-09-18 12:00:00,
2025-09-18 12:30:00,
2025-09-18 13:00:00,
2025-09-18 13:30:00,
2025-09-18 14:00:00,
2025-09-18 14:30:00,
2025-09-18 15:00:00,
2025-09-18 15:30:00,
2025-09-18 16:00:00,
2025-09-18 16:30:00,
2025-09-18 17:00:00,
2025-09-18 17:30:00,
2025-09-18 18:00:00,
2025-09-18 18:30:00,
2025-09-18 19:00:00,
2025-09-18 19:30:00,
2025-09-18 20:00:00,
2025-09-18 20:30:00,
2025-09-18 21:00:00,
2025-09-18 21:30:00,
2025-09-18 22:00:00,
2025-09-18 22:30:00,
2025-09-18 23:00:00,
2025-09-18 23:30:00,
2025-09-19 00:00:00,
2025-09-19 00:30:00,
2025-09-19 01:00:00,
2025-09-19 01:30:00,
2025-09-19 02:00:00,
2025-09-19 02:30:00,
2025-09-19 03:00:00,
2025-09-19 03:30:00,2
2025-09-19 04:00:00,34.8
2025-09-19 04:30:00,58
2025-09-19 05:00:00,58
2025-09-19 05:30:00,58
2025-09-19 06:00:00,58
2025-09-19 06:30:00,58
2025-09-19 07:00:00,58
2025-09-19 07:30:00,58
2025-09-19 08:00:00,58
2025-09-19 08:30:00,58
2025-09-19 09:00:00,58
2025-09-19 09:30:00,58
2025-09-19 10:00:00,58
2025-09-19 10:30:00,58
2025-09-19 11:00:00,58
2025-09-19 11:30:00,58
2025-09-19 12:00:00,58
2025-09-19 12:30:00,58
2025-09-19 13:00:00,58
2025-09-19 13:30:00,58
2025-09-19 14:00:00,63.8
2025-09-19 14:30:00,148
2025-09-19 15:00:00,174
2025-09-19 15:30:00,174
2025-09-19 16:00:00,174
2025-09-19 16:30:00,174
2025-09-19 17:00:00,174
2025-09-19 17:30:00,174
2025-09-19 18:00:00,174
2025-09-19 18:30:00,174
2025-09-19 19:00:00,174
2025-09-19 19:30:00,174
2025-09-19 20:00:00,174
2025-09-19 20:30:00,173
2025-09-19 21:00:00,174
2025-09-19 21:30:00,174
2025-09-19 22:00:00,174
2025-09-19 22:30:00,174
2025-09-19 23:00:00,174
2025-09-19 23:30:00,174
2025-09-20 00:00:00,174
2025-09-20 00:30:00,171
2025-09-20 01:00:00,174
2025-09-20 01:30:00,174
2025-09-20 02:00:00,174
2025-09-20 02:30:00,174
2025-09-20 03:00:00,174
2025-09-20 03:30:00,174
2025-09-20 04:00:00,174
2025-09-20 04:30:00,174
2025-09-20 05:00:00,174
2025-09-20 05:30:00,174
2025-09-20 06:00:00,174
2025-09-20 06:30:00,152
2025-09-20 07:00:00,125
2025-09-20 07:30:00,118
2025-09-20 08:00:00,117
2025-09-20 08:30:00,116
2025-09-20 09:00:00,116
2025-09-20 09:30:00,116
2025-09-20 10:00:00,116
2025-09-20 10:30:00,114
2025-09-20 11:00:00,144
2025-09-20 11:30:00,174
2025-09-20 12:00:00,174
2025-09-20 12:30:00,174
2025-09-20 13:00:00,174
2025-09-20 13:30:00,174
2025-09-20 14:00:00,174
2025-09-20 14:30:00,174
2025-09-20 15:00:00,193
2025-09-20 15:30:00,232
2025-09-20 16:00:00,232
2025-09-20 16:30:00,232
2025-09-20 17:00:00,232
2025-09-20 17:30:00,232
2025-09-20 18:00:00,232
2025-09-20 18:30:00,232
2025-09-20 19:00:00,232
2025-09-20 19:30:00,232
2025-09-20 20:00:00,229
2025-09-20 20:30:00,147
2025-09-20 21:00:00,115
2025-09-20 21:30:00,116
